aDevice configuration
aCarrier Services
aGoogle Text-to-speech Engine
aDevice Health Services
aGboard
aGoogle Connectivity Services
aGoogle Play services
aGoogle Support Services
aCamera
aCloud Print
aBluetoothCursors
aRotatingServo
aGoogle Now Launcher
aArduinoControl
aGoogle Play services for Instant Apps
aAndroid System Webview
aExchange Services
aAndroid System WebView
aCalendar Storage
aDevice Policy
aService Program
aTalkBack
aAndroid System
aOk Google enrollment
aGoogle Indic Keyboard
aAndroid Easter Egg
aNfc Service
aSIM Toolkit
aSettings Storage
aCell Broadcasts
aRCSService
aTags
aLive Wallpaper Picker
aGoogle Korean Input
aGoogle Japanese Input
aBookmark Provider
aGoogle Pinyin Input
aProject Fi
aCareer Provisioning Service
aSystem UI
aGoogle Keyboard
aSmart Storage
aContacts Storage
aPhone and Messaging Storage
aPhone Services
